person_id,from_date,to_date,store_id
1758787,2017-10-05,2017-12-04,1
1758792,2017-11-18,2018-01-17,1
1758796,2015-05-15,2021-06-30,1
1758801,2018-04-11,2018-09-26,1
1758804,2016-06-08,2018-05-31,1
1758806,2019-04-03,2019-05-13,1
1758806,2019-12-19,2020-07-29,1
1758806,2019-05-14,2019-11-13,1
1758809,2018-03-06,2018-09-05,1
1758812,2017-09-11,2020-08-17,1
1758816,2016-01-26,2018-03-23,1
1758821,2008-10-01,2018-06-15,1
1758826,2012-11-10,2018-05-27,1
1758828,2014-06-14,2018-05-13,1
1758832,2018-05-11,2018-05-28,1
1758836,2017-06-07,2018-05-27,1
1758841,2019-06-04,2019-12-03,1
1758842,2018-04-05,2018-05-27,1
1758846,2018-04-06,2018-07-08,1
1758850,2017-11-16,2018-01-15,1
1758854,2008-10-01,2020-12-20,1
1758860,2017-11-18,2018-01-17,1
1758864,2019-09-06,2020-03-05,1
1758864,2020-09-07,2020-09-12,1
1758867,2019-01-04,2019-07-03,1
1758869,2018-04-04,2018-07-08,1
1758873,2008-10-01,2021-09-09,1
1758877,2023-01-01,2023-08-31,1
1758878,2023-01-09,2023-01-09,1
1758878,2016-09-02,2021-11-25,1
1758884,2021-05-22,2021-11-21,1
1758885,2021-05-22,2021-07-21,1
1758887,2019-10-11,2020-01-13,1
1758891,2019-12-13,2020-01-31,1
1758895,2021-05-22,2021-07-21,1
1758895,2021-09-13,2021-11-19,1
1758900,2019-12-13,2020-01-31,1
1758903,2018-09-07,2018-11-08,1
1758904,2019-11-18,2020-01-16,1
1758905,2019-05-24,2019-05-30,1
1758908,2019-10-14,2020-01-13,1
1758912,2019-09-09,2020-01-08,1
1758917,2018-10-29,2019-01-19,1
1758919,2019-03-08,2019-05-30,1
1758927,2019-03-16,2019-09-15,1
1758933,2018-06-12,2018-08-11,1
1758935,2019-03-01,2019-06-15,1
1758939,2018-09-13,2018-12-12,1
1758941,2019-10-28,2019-11-09,1
1758944,2019-10-28,2020-06-08,1
1758949,2018-10-26,2019-01-25,1
1758951,2019-03-15,2019-08-26,1
1758954,2018-11-20,2019-01-19,1
1758959,2019-03-08,2019-07-07,1
1758961,2019-03-22,2019-09-21,1
1758964,2018-07-05,2019-01-04,1
1758966,2021-05-14,2021-09-13,1
1758966,2020-07-02,2020-09-01,1
1758969,2019-10-01,2019-10-21,1
1758970,2018-07-06,2018-09-05,1
1758975,2020-06-27,2020-09-26,1
1758975,2019-11-08,2020-01-12,1
1758975,2021-04-09,2021-06-08,1
1758979,2018-10-16,2018-10-23,1
1758982,2019-05-03,2021-03-13,1
1758986,2019-04-01,2019-09-30,1
1758988,2019-03-01,2019-06-30,1
1758993,2021-05-17,2021-09-16,1
1758993,2020-07-02,2020-09-01,1
1758995,2018-06-23,2018-12-22,1
1758996,2020-03-10,2020-03-14,1
1758998,2020-07-17,2021-05-03,1
1758998,2019-10-28,2020-07-16,1
1759004,2021-05-11,2021-11-10,1
1759008,2018-10-30,2019-01-26,1
1759011,2018-11-09,2019-01-19,1
1759014,2019-05-08,2019-11-07,1
1759017,2020-08-03,2021-02-02,1
1759017,2019-04-18,2019-10-17,1
1759020,2019-12-15,2020-01-31,1
1759022,2018-08-20,2019-01-13,1
